year,region,crop,cultivation_type,yield_kg_10a,production_ton
2016,충청남도,딸기,시설,2682,33498
2016,충청남도,수박,노지,2953,1624
2016,충청남도,수박,시설,4053,149434
2016,충청남도,오이,노지,5313,2444
2016,충청남도,오이,시설,8270,71784
2016,충청남도,참외,노지,1412,184
2016,충청남도,참외,시설,2650,1034
2016,충청남도,호박,노지,2537,6825
2016,충청남도,호박,시설,3984,13147
2016,충청북도,딸기,노지,2706,27
2016,충청북도,딸기,시설,2970,3059
2016,충청북도,수박,노지,3664,7365
2016,충청북도,수박,시설,4790,95417
2016,충청북도,오이,노지,2284,3906
2016,충청북도,오이,시설,10139,29403
2016,충청북도,참외,노지,1412,297
2016,충청북도,참외,시설,2650,53
2016,충청북도,호박,노지,1381,6366
2016,충청북도,호박,시설,4438,23300
2017,강원도,딸기,노지,1918,62
2017,강원도,딸기,시설,2011,1398
2017,강원도,수박,노지,2742,690
2017,강원도,수박,시설,5388,11238
2017,강원도,오이,노지,4253,19214
2017,강원도,오이,시설,5759,26704
2017,강원도,참외,노지,1384,123
2017,강원도,참외,시설,2471,429
2017,강원도,호박,노지,2652,29234
2017,강원도,호박,시설,3374,3389
2017,경기도,딸기,노지,2119,71
2017,경기도,딸기,시설,2542,3977
2017,경기도,수박,노지,2434,702
2017,경기도,수박,시설,5063,3422
2017,경기도,오이,노지,3062,4821
2017,경기도,오이,시설,6357,37187
2017,경기도,참외,노지,2355,789
2017,경기도,참외,시설,2515,763
2017,경기도,호박,노지,3033,20425
2017,경기도,호박,시설,4476,14636
2017,경상남도,딸기,노지,2980,23
2017,경상남도,딸기,시설,4786,104995
2017,경상남도,수박,노지,2924,394
2017,경상남도,수박,시설,3775,106702
2017,경상남도,오이,노지,3224,634
2017,경상남도,오이,시설,10673,11573
2017,경상남도,참외,노지,2286,72
2017,경상남도,참외,시설,1471,1279
2017,경상남도,호박,노지,2239,9692
2017,경상남도,호박,시설,7557,65614
2017,경상북도,딸기,노지,2980,86
2017,경상북도,딸기,시설,3176,11978
2017,경상북도,수박,노지,3446,38971
2017,경상북도,수박,시설,4658,29006
2017,경상북도,오이,노지,3905,3979
2017,경상북도,오이,시설,11533,88729
2017,경상북도,참외,노지,2286,66
2017,경상북도,참외,시설,4980,155556
2017,경상북도,호박,노지,2136,32103
2017,경상북도,호박,시설,3735,8945
2017,전라남도,딸기,노지,2867,778
2017,전라남도,딸기,시설,2947,23551
2017,전라남도,수박,노지,3337,8836
2017,전라남도,수박,시설,4377,17147
2017,전라남도,오이,노지,5656,876
2017,전라남도,오이,시설,9580,17995
2017,전라남도,참외,노지,1650,228
2017,전라남도,참외,시설,2181,323
2017,전라남도,호박,노지,3284,37523
2017,전라남도,호박,시설,6184,19856
2017,전라북도,딸기,노지,2462,697
2017,전라북도,딸기,시설,2780,18892
2017,전라북도,수박,노지,4013,26924
2017,전라북도,수박,시설,3733,43919
2017,전라북도,오이,노지,5961,3500
2017,전라북도,오이,시설,7957,15270
2017,전라북도,참외,노지,1650,73
2017,전라북도,참외,시설,1681,93
2017,전라북도,호박,노지,3663,7620
2017,전라북도,호박,시설,4561,8007
2017,충청남도,딸기,노지,2185,16
2017,충청남도,딸기,시설,2736,32072
2017,충청남도,수박,노지,2052,1016
2017,충청남도,수박,시설,4267,88126
2017,충청남도,오이,노지,4633,3468
2017,충청남도,오이,시설,5342,53118
2017,충청남도,참외,노지,1286,302
2017,충청남도,참외,시설,2798,225
2017,충청남도,호박,노지,2556,6218
2017,충청남도,호박,시설,3211,12488
2017,충청북도,딸기,노지,2883,25
2017,충청북도,딸기,시설,2225,2644
2017,충청북도,수박,노지,3393,9672
2017,충청북도,수박,시설,4505,94870
2017,충청북도,오이,노지,3584,7733
2017,충청북도,오이,시설,11193,34389
2017,충청북도,참외,노지,1286,24
2017,충청북도,참외,시설,2798,26
2017,충청북도,호박,노지,1404,5309
2017,충청북도,호박,시설,3971,15789
2018,강원도,딸기,노지,1678,51
2018,강원도,딸기,시설,2003,838
2018,강원도,수박,노지,2445,659
2018,강원도,수박,시설,5005,9428
2018,강원도,오이,노지,3849,14823
2018,강원도,오이,시설,5117,19792
2018,강원도,참외,노지,1990,72
2018,강원도,참외,시설,2290,357
2018,강원도,호박,노지,2607,24019
2018,강원도,호박,시설,2341,2772
2018,경기도,딸기,노지,2100,75
2018,경기도,딸기,시설,2456,3280
2018,경기도,수박,노지,4050,1101
2018,경기도,수박,시설,2951,2410
2018,경기도,오이,노지,3866,5435
2018,경기도,오이,시설,5470,38087
2018,경기도,참외,노지,1966,859
2018,경기도,참외,시설,2474,975
2018,경기도,호박,노지,3156,27070
2018,경기도,호박,시설,1867,7535
2018,경상남도,딸기,노지,3240,183
2018,경상남도,딸기,시설,3187,82217
2018,경상남도,수박,노지,2670,489
2018,경상남도,수박,시설,3251,79373
2018,경상남도,오이,노지,3237,268
2018,경상남도,오이,시설,8582,15880
2018,경상남도,참외,노지,915,56
2018,경상남도,참외,시설,1764,525
2018,경상남도,호박,노지,2471,8964
2018,경상남도,호박,시설,5872,37990
2018,경상북도,딸기,노지,2349,159
2018,경상북도,딸기,시설,3043,9669
2018,경상북도,수박,노지,3366,33259
2018,경상북도,수박,시설,4375,20390
2018,경상북도,오이,노지,4141,4170
2018,경상북도,오이,시설,13564,76299
2018,경상북도,참외,노지,2228,56
2018,경상북도,참외,시설,3703,117646
2018,경상북도,호박,노지,2476,36596
2018,경상북도,호박,시설,4150,10236
2018,전라남도,딸기,노지,3247,376
2018,전라남도,딸기,시설,3172,25985
2018,전라남도,수박,노지,1962,3853
2018,전라남도,수박,시설,4130,17521
2018,전라남도,오이,노지,8161,645
2018,전라남도,오이,시설,8535,27103
2018,전라남도,참외,노지,2808,571
2018,전라남도,참외,시설,5028,157
2018,전라남도,호박,노지,2946,39251
2018,전라남도,호박,시설,6521,20905
2018,전라북도,딸기,노지,3247,54
2018,전라북도,딸기,시설,3143,17454
2018,전라북도,수박,노지,3971,20690
2018,전라북도,수박,시설,4209,50232
2018,전라북도,오이,노지,8821,9517
2018,전라북도,오이,시설,8378,18665
2018,전라북도,참외,노지,2808,373
2018,전라북도,참외,시설,2104,143
2018,전라북도,호박,노지,5270,11478
2018,전라북도,호박,시설,5688,12534
2018,충청남도,딸기,노지,3764,16
2018,충청남도,딸기,시설,2761,34716
2018,충청남도,수박,노지,3424,397
2018,충청남도,수박,시설,3992,95191
2018,충청남도,오이,노지,4915,5186
2018,충청남도,오이,시설,8784,107748
2018,충청남도,참외,노지,2808,514
2018,충청남도,참외,시설,2399,176
2018,충청남도,호박,노지,2625,5116
2018,충청남도,호박,시설,2937,6036
2018,충청북도,딸기,노지,0,0
2018,충청북도,딸기,시설,2924,3925
2018,충청북도,수박,노지,3019,7867
2018,충청북도,수박,시설,5661,110464
2018,충청북도,오이,노지,2559,6427
2018,충청북도,오이,시설,7828,24821
2018,충청북도,참외,노지,1200,73
2018,충청북도,참외,시설,2290,240
2018,충청북도,호박,노지,1484,4237
2018,충청북도,호박,시설,5340,35772
2019,강원도,딸기,노지,1847,211
2019,강원도,딸기,시설,2179,1171
2019,강원도,수박,노지,2831,830
2019,강원도,수박,시설,5423,11053
2019,강원도,오이,노지,4352,17096
2019,강원도,오이,시설,4942,20394
2019,강원도,참외,노지,1423,84
2019,강원도,참외,시설,2512,499
2019,강원도,호박,노지,2516,24749
2019,강원도,호박,시설,3379,3600
2019,경기도,딸기,노지,2066,112
2019,경기도,딸기,시설,2675,2905
2019,경기도,수박,노지,4930,3021
2019,경기도,수박,시설,3879,2849
2019,경기도,오이,노지,3015,5142
2019,경기도,오이,시설,6574,54074
2019,경기도,참외,노지,2342,1329
2019,경기도,참외,시설,2485,953
2019,경기도,호박,노지,3511,24675
2019,경기도,호박,시설,4627,16845
2019,경상남도,딸기,노지,3684,66
2019,경상남도,딸기,시설,4544,124688
2019,경상남도,수박,노지,2939,849
2019,경상남도,수박,시설,3747,74230
2019,경상남도,오이,노지,3331,347
2019,경상남도,오이,시설,10073,16140
2019,경상남도,참외,노지,1500,137
2019,경상남도,참외,시설,1422,295
2019,경상남도,호박,노지,2373,9056
2019,경상남도,호박,시설,7123,60389
2019,경상북도,딸기,노지,1411,24
2019,경상북도,딸기,시설,4154,14559
2019,경상북도,수박,노지,2843,30131
2019,경상북도,수박,시설,4101,17844
2019,경상북도,오이,노지,4017,3142
2019,경상북도,오이,시설,11237,61796
2019,경상북도,참외,노지,1207,61
2019,경상북도,참외,시설,4287,136995
2019,경상북도,호박,노지,2401,37439
2019,경상북도,호박,시설,3699,7175
2019,전라남도,딸기,노지,3343,58
2019,전라남도,딸기,시설,2915,22137
2019,전라남도,수박,노지,3798,7719
2019,전라남도,수박,시설,4254,13939
2019,전라남도,오이,노지,6088,263
2019,전라남도,오이,시설,9899,23077
